regime,corpus,lang,length,unit_id,source_url,text_sha256
P1,nep_wikipedia_2021_100K,nep,L20,33,http://ne.wikipedia.org/wiki/लोकगीत,b7377c37c498ceed0ff7a17ad903b2ebb4b388fbdc39fce84838f71c25f6e5f0
P1,nep_wikipedia_2021_100K,nep,L20,34,http://ne.wikipedia.org/wiki/दरबार_हाई_स्कुल,ed8edb88aa6a5f0e04fbef5a251805ed4c71b8d141f4f7625221065503d24d98
P1,nep_wikipedia_2021_100K,nep,L20,35,"http://ne.wikipedia.org/wiki/सालडाँडा,_स्याङ्जा",24d70c47f31a995c875ffabad472ac9090a172112c4293a4655e53002d93454d
P1,nep_wikipedia_2021_100K,nep,L20,36,http://ne.wikipedia.org/wiki/वेद,bd5b7b9bac172dfb29b624a69586021171a40e56199782740823aaa39613bb8d
P1,nep_wikipedia_2021_100K,nep,L20,37,http://ne.wikipedia.org/wiki/डेउडा_गीत,b345bfa77bbf198f0962948fde762c38338364d460c94dd7fcac29d395744b57
P1,nep_wikipedia_2021_100K,nep,L20,38,http://ne.wikipedia.org/wiki/चीनको_जनवादी_क्रान्ति,ba70dbd79f830bef7d46d5372c90610e4e9b4b1ed5c74c4f3da811197986115e
P1,nep_wikipedia_2021_100K,nep,L20,39,http://ne.wikipedia.org/wiki/शिवहरि_ज्ञवाली,d3e72a6cb9bf2e1ce1202a0690d18c6fca5de7fe0310411871bd42d78c3f05f1
P1,nep_wikipedia_2021_100K,nep,L20,40,http://ne.wikipedia.org/wiki/शंकराचार्य,445f4ecd8a800495e0874454b51d26877aa0a239000035b78f5c834de64d5a8b
P1,nep_wikipedia_2021_100K,nep,L20,41,http://ne.wikipedia.org/wiki/द_जङ्गल_बुक_(१९६७_चलचित्र),f4270ce27b9e3359234bc5c3f4edef871b2366c3428332d3e7e7fa7860d45a12
P1,nep_wikipedia_2021_100K,nep,L20,42,http://ne.wikipedia.org/wiki/मोतिराम_भट्ट,4a68b78b7451439eebf6d8d7c163b712ed19425c6c94487f64c185522c399236
P1,nep_wikipedia_2021_100K,nep,L20,43,http://ne.wikipedia.org/wiki/सर्प,9b1dde2f2e12961045e22439cc457f27adc0a11cfe7d43be366bcdadc0a7b7f9
P1,nep_wikipedia_2021_100K,nep,L20,44,http://ne.wikipedia.org/wiki/श्रीमद्भगवद_गीता,7e43c9b89701e8f9e93f1c55223060f11e228d11915982dea741f0acaec29f21
P1,nep_wikipedia_2021_100K,nep,L20,45,http://ne.wikipedia.org/wiki/कुरुक्षेत्र_युद्ध,57a2301a614844ad045ff62203a532de52d2b3324d349cea9dbd2bec000b66af
P1,nep_wikipedia_2021_100K,nep,L20,46,http://ne.wikipedia.org/wiki/हनुमान,1af6c0d6709ca11e6367187c655740bc011fc966286908184fa64e2476812c7d
P1,nep_wikipedia_2021_100K,nep,L20,47,http://ne.wikipedia.org/wiki/नेपालका_शहरहरू,8947e28bbfb119a3d5e34fdba4d5c78a83cb7774de146f480065341d30dc9d97
P1,nep_wikipedia_2021_100K,nep,L20,48,http://ne.wikipedia.org/wiki/बृहत_हिमालय_पदमार्ग,a43ed033ccad19ec84d27947229cf89dc32f87fe8dfbbb6471c9e9bb9ba4502d
P1,nep_wikipedia_2021_100K,nep,L20,49,http://ne.wikipedia.org/wiki/दशैं,e0d5bb607443e400292521f92022146134aa882265256c71662c2f0cf40d2018
P1,nep_wikipedia_2021_100K,nep,L20,50,http://ne.wikipedia.org/wiki/त्रिपाठी,a3eba8ae2f298e8d5cee1d898f696ecd8c6a43c988b43648961a26acdbf604a9
P1,nep_wikipedia_2021_100K,nep,L20,51,http://ne.wikipedia.org/wiki/नेटालिया,64f6047945cff4cb2aa1c80ec3595744fd4aacb0913450040b2b738797510315
P1,nep_wikipedia_2021_100K,nep,L20,52,http://ne.wikipedia.org/wiki/योगी_नरहरिनाथ,31cee1ae4dbe417ee10db2a68007f7287872e695bcf327ff2dd699ac6f41ec46
P1,nep_wikipedia_2021_100K,nep,L20,53,http://ne.wikipedia.org/wiki/ज्योतिष_गणपति,c3aa9d62e18c4b4cb00a2eae7c114188cb004e7d6b29196d084afec61e1e52ec
P1,nep_wikipedia_2021_100K,nep,L20,54,http://ne.wikipedia.org/wiki/नेपाल,dbb37579e7103c8970ef764f4965d29477394d907e156d2416ea42a49031d84f
P1,nep_wikipedia_2021_100K,nep,L20,55,http://ne.wikipedia.org/wiki/उत्परिवर्तन,7f124dc79cd9f94df58f93ef8d5fa39c9cf9ee9bc7f7e40feb0abee690e2b95c
P1,nep_wikipedia_2021_100K,nep,L20,56,http://ne.wikipedia.org/wiki/भानुभक्तीय_र_तुलसीकृत_रामायण,1f3394603843840d5d617cc7ee6c81b01805247d90a288379280c9914f2615a6
P1,nep_wikipedia_2021_100K,nep,L20,57,http://ne.wikipedia.org/wiki/अछाम_जिल्ला,97f01ba47055dc3f879eb9426e8d70d015133354cc0273ad2ca3e57f5cfa2d5a
P1,nep_wikipedia_2021_100K,nep,L20,58,http://ne.wikipedia.org/wiki/लियोनेल_मेसी,1f8e2b6ab0c93cc68c8a730016ae72776e446d278ade472fe16d7f4771957e45
P1,nep_wikipedia_2021_100K,nep,L20,59,http://ne.wikipedia.org/wiki/साबित्रा_भण्डारी,43866c7adfa79d81250562e9aab20c287b0bb9acb7501cefda5ad21e4ae7f089
P1,nep_wikipedia_2021_100K,nep,L20,60,http://ne.wikipedia.org/wiki/सिक्किम,eb1ff289d9e4c1907e47ae4003ea581c504ccc17b76a5a6e144f6440a8b1782c
P1,nep_wikipedia_2021_100K,nep,L20,61,http://ne.wikipedia.org/wiki/रामपुर_ठोक्सिला,2a36e431ec706eb833d39b5141d6ac9db72f7f741ed7974deb56ab259963ff10
P1,nep_wikipedia_2021_100K,nep,L20,62,http://ne.wikipedia.org/wiki/कार्ल_मार्क्स,93810e4c311e491fda5734fe82bf78a9f061357f3d18e372ba85aa09a7966e9e
P1,nep_wikipedia_2021_100K,nep,L20,63,http://ne.wikipedia.org/wiki/होली,d9deb50d43794cd4f1ddfc162c9a8c07edee38c81746317d93f855a6b156173b
P1,nep_wikipedia_2021_100K,nep,L20,64,http://ne.wikipedia.org/wiki/निकोला_टेस्ला,8c7265ec4674d791a8c82a19eca102e72d6f4d9b1a9a532b75032c8869cfb8ad
P1,nep_wikipedia_2021_100K,nep,L20,65,http://ne.wikipedia.org/wiki/तिहार,ed800f24e130ad508cdde67bb36009dbcf0b3ae66e7dc10ac974d144903264a1
P1,nep_wikipedia_2021_100K,nep,L20,66,http://ne.wikipedia.org/wiki/भवानी_भिक्षु,39aa743dcc00137eb86d69ff5f69a1d23503303d6cba943b1a5b15af7a4509c0
P1,nep_wikipedia_2021_100K,nep,L20,67,http://ne.wikipedia.org/wiki/सोरठी_नाच,965df6cc5756b01d98e2666e021e1dc38154bf15099b31a8c8fbb26426dd72ba
P1,nep_wikipedia_2021_100K,nep,L20,68,http://ne.wikipedia.org/wiki/बोगटाकोट,0882c19b64591c14f18ab731d4aad122b23106e24890a3a27a42bde8dfc5cc78
P1,nep_wikipedia_2021_100K,nep,L20,69,http://ne.wikipedia.org/wiki/बुढ्यौली,a6f6a3b2a728ec143112d275f04f2ffbede21e3fcb27ade7aab93ca7c32b0a6a
P1,nep_wikipedia_2021_100K,nep,L20,70,http://ne.wikipedia.org/wiki/बर्छेन,7e56f9fa74f832b5d8ead2a2e79b3c49eaf74a7d12b971d995de76ef4a84b477
P1,nep_wikipedia_2021_100K,nep,L20,71,http://ne.wikipedia.org/wiki/रामानाथस्वामी_मन्दिर,2adc836ca0e160378e521c9f1c30bfbe0cd381ee4593760f57a964171c06fb79
P1,nep_wikipedia_2021_100K,nep,L20,72,http://ne.wikipedia.org/wiki/पञ्चकोशी,43532d747ad721093bdd1d6473e6d2f3e9522b24f9152f5d1a14d6b6433c4e1d
P1,nep_wikipedia_2021_100K,nep,L20,73,http://ne.wikipedia.org/wiki/धनकुटा_जिल्ला,2fa822ea3c8374218658bc0a635b5de94f45aff436493d02410e6e538afe2540
P1,nep_wikipedia_2021_100K,nep,L20,74,http://ne.wikipedia.org/wiki/स्तनपान,b97a1da86ced8ee3add20faa770252a4cdd847d3965df4db17d1cd916855c5ae
P1,nep_wikipedia_2021_100K,nep,L20,75,http://ne.wikipedia.org/wiki/द_गुड_प्लेस,f9db32fdce782ca87cde5929a4d96dbc82ee9474095b84a585809615b478d6a8
P1,nep_wikipedia_2021_100K,nep,L20,76,http://ne.wikipedia.org/wiki/विसं_२०७२_को_महाभूकम्प,201afbe41fbe275d595d9bf53c4700710cceaabd3af4227cba7e029f898a6023
P1,nep_wikipedia_2021_100K,nep,L20,77,http://ne.wikipedia.org/wiki/२०१४_पिशावर_विद्यालय_हत्याकाण्ड,2149e2b112783972812ddc8a28e2a66b03bdb81e4d3bb65cdd8425f9e6079252
P1,nep_wikipedia_2021_100K,nep,L20,78,http://ne.wikipedia.org/wiki/चाणक्य,799c0c9c17ec4848245b4d6da5e41bd06e2e9c1d1d49bf362b2e1e95cda13819
P1,nep_wikipedia_2021_100K,nep,L20,79,http://ne.wikipedia.org/wiki/बटाला,1fc558fd3f495d706ad2f2cfdfe9197d84f1129aaa930bae3464cf4e299c72be
P1,nep_wikipedia_2021_100K,nep,L20,80,http://ne.wikipedia.org/wiki/बाला_गुरु_षडानन्द,c3ed022a5e33d1d96a5fbbe7b98c75fef061eb958ad84e280c9d8dd869cc3dd1
P1,nep_wikipedia_2021_100K,nep,L20,81,http://ne.wikipedia.org/wiki/सोह्र_श्राद्ध,08e005ea52c253b2a10cd72d84173e118a81b8b29f24a01ddb82f96f22a32fb7
